"","P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"117","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","25%",NA,30,0.134066950508144,0.157216306793465,999,2627,409134,63266
"118","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","25%",NA,50,0.134066950508144,0.157216306793465,999,2627,409134,63266
"119","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","50%",NA,30,0.134481759782031,0.157201653837881,996,2627,409134,64279
"120","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","50%",NA,50,0.134481759782031,0.157201653837881,996,2627,409134,64279
"121","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy",NA,"10%",NA,0.132689899086478,0.154936680509942,960,2627,409134,76811
"122","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy",NA,"5%",NA,0.134231163834854,0.156949238192807,977,2627,409134,70814
"123","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"10%",30,0.132689899086478,0.154936680509942,960,2627,409134,76811
"124","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"10%",50,0.132689899086478,0.154936680509942,960,2627,409134,76811
"125","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"5%",30,0.134231163834854,0.156949238192807,977,2627,409134,70814
"126","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"5%",50,0.134231163834854,0.156949238192807,977,2627,409134,70814
"127","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"none",NA,NA,NA,0.133991600064706,0.157155665193058,1000,2627,409134,62927
"128","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"accuracy","25%",NA,NA,0.122832580675604,0.158055084999732,999,2627,409134,109860
"129","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"accuracy","50%",NA,NA,0.123441518250246,0.157893276518403,996,2627,409134,110696
"130","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"accuracy+sample","25%",NA,30,0.122832580675604,0.158055084999732,999,2627,409134,109860
"131","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"accuracy+sample","25%",NA,50,0.122832580675604,0.158055084999732,999,2627,409134,109860
"132","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"accuracy+sample","50%",NA,30,0.123441518250246,0.157893276518403,996,2627,409134,110696
"133","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"accuracy+sample","50%",NA,50,0.123441518250246,0.157893276518403,996,2627,409134,110696
"134","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"lower_bound_accuracy",NA,"10%",NA,0.122208317799348,0.156978876073242,960,2627,409134,121594
"135","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"lower_bound_accuracy",NA,"5%",NA,0.123733143052993,0.157692397150597,977,2627,409134,116338
"136","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"lower_bound_accuracy+sample",NA,"10%",30,0.122208317799348,0.156978876073242,960,2627,409134,121594
"137","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"lower_bound_accuracy+sample",NA,"10%",50,0.122208317799348,0.156978876073242,960,2627,409134,121594
"138","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"lower_bound_accuracy+sample",NA,"5%",30,0.123733143052993,0.157692397150597,977,2627,409134,116338
"139","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"lower_bound_accuracy+sample",NA,"5%",50,0.123733143052993,0.157692397150597,977,2627,409134,116338
"140","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",2.5,"none",NA,NA,NA,0.122755835834597,0.157994598795602,1000,2627,409134,109550
"141","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",3,"accuracy","25%",NA,NA,0.128947113647189,0.167207869220897,999,2627,409134,107403
"142","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",3,"accuracy","50%",NA,NA,0.12958585664711,0.167042605565104,996,2627,409134,108270
"143","accuracy+numtrials","80%",NA,100,NA,"bounds_percent+z",NA,NA,"10%","10%",3,"accuracy+sample","25%",NA,30,0.128947113647189,0.167207869220897,999,2627,409134,107403
